Entity,Code,Year,Christians,Jews,Muslims,Hindus,Buddhists,Other,No religion
Afghanistan,AFG,2010,0.10022439,0.000106422,99.74918,0.00035474,0.01998632,0.121494696,0.00865241
Afghanistan,AFG,2020,0.019379199,0.0000256593,99.86197,0.000128296,0.020000853,0.09004255,0.008456565
Africa,OWID_AFR,2010,50.044273,0.008155441,44.846317,0.1253172,0.007438888,2.43861,2.529368
Africa,OWID_AFR,2020,50.922043,0.0040311515,44.76618,0.10642564,0.006977514,2.0160115,2.1779282
Albania,ALB,2010,20.28347,0.009593685,70.1529,0,0,0.016603233,9.537429
Albania,ALB,2020,17.815659,0.010049576,74.507225,0.000707935,0.000158218,0.013315931,7.6528873
Algeria,DZA,2010,0.2906793,0.000151956,98.57146,0,0.014109504,0.038876127,1.0847238
Algeria,DZA,2020,0.29498956,0.000129986,98.38235,0,0.015000784,0.04132855,1.2662071
Angola,AGO,2010,91.57468,0.002140027,0.1669055,0.013696176,0.00385205,3.7618802,4.47685
Angola,AGO,2020,93.04471,0.001196584,0.255656,0.009273528,0.002393168,0.5719677,6.114808
Argentina,ARG,2010,88.07093,0.44282106,1.0000821,0.002481744,0.02914833,0.7270309,9.727509
Argentina,ARG,2020,88.45394,0.38497812,0.92919636,0.002573854,0.031062234,0.9653383,9.232909
Armenia,ARM,2010,97.53247,0.003394095,0.023529492,0.004751734,0.006788191,1.2229218,1.2061422
Armenia,ARM,2020,97.31269,0.003564289,0.26675764,0.007485007,0.010692867,1.2209328,1.1778806
Aruba,ABW,2010,82.22213,0.35254142,0.17938739,0.24914916,0.47836637,10.906172,5.612252
Aruba,ABW,2020,81.42007,0.35426697,0.33776018,0.2814668,0.5441692,11.188284,5.8739867
Asia,OWID_ASI,2010,5.567058,0.13750742,27.143242,24.65098,7.9192686,2.5827856,31.999157
Asia,OWID_ASI,2020,5.37461,0.1462927,28.832275,24.938011,6.730119,2.3998618,31.578829
Asia-Pacific (Pew),PEW_APA,2010,6.138703,0.004394813,24.763258,25.278584,8.146677,2.6490867,33.0193
Asia-Pacific (Pew),PEW_APA,2020,5.9153156,0.004071864,26.132376,25.67132,6.955449,2.476142,32.845325
Australia,AUS,2010,67.118286,0.49647224,2.475813,1.4443375,2.7270718,0.8793402,24.858683
Australia,AUS,2020,46.750423,0.4204121,3.5031474,2.963423,2.6115515,1.4070219,42.34402
Austria,AUT,2010,80.43659,0.16190322,5.3830957,0.087822534,0.22099462,0.20432314,13.505267
Austria,AUT,2020,68.1907,0.060347393,8.302758,0.11324697,0.29699627,0.6385594,22.397392
Azerbaijan,AZE,2010,1.6387202,0.15987027,97.122185,0.008335858,0.002489931,0,1.0683964
Azerbaijan,AZE,2020,0.4196731,0.084269956,94.72726,0.006806061,0.002041818,0,4.7599525
Bahamas,BHS,2010,97.49794,0.05577285,0.089345306,0.12499024,0,0.31615686,1.9157947
Bahamas,BHS,2020,97.5894,0.049463592,0.08583479,0.12642616,0,0.29199135,1.8568815
Bahrain,BHR,2010,15.718696,0.016314505,70.21779,12.881372,0.1828378,0.61476016,0.3682299
Bahrain,BHR,2020,13.67351,0.014348853,74.02147,11.205845,0.15959714,0.6051561,0.32007417
Bangladesh,BGD,2010,0.3043798,0,90.374504,8.561436,0.6215775,0.13810107,0
Bangladesh,BGD,2020,0.30009001,0,91.06732,7.902371,0.61018306,0.12003601,0
Barbados,BRB,2010,76.59418,0.04609456,0.7178504,0.4717413,0.1019253,1.26172,20.806494
Barbados,BRB,2020,77.34907,0.045945168,0.706987,0.46223992,0.10687833,1.1899288,20.138952
Belarus,BLR,2010,93.84196,0.12947741,0.25689963,0.005569584,0.03816501,0.74785215,4.9800754
Belarus,BLR,2020,85.13064,0.074737325,0.26230726,0.005574159,0.03782539,0.7171724,13.771746
Belgium,BEL,2010,61.1096,0.27670664,5.112908,0.118146814,0.14475167,1.2252637,32.012623
Belgium,BEL,2020,50.971504,0.25082782,6.811328,0.23222195,0.1784153,2.572257,38.983448
Belize,BLZ,2010,74.03389,0.18316923,0.19491985,0.20103468,0.25641423,9.123989,16.006582
Belize,BLZ,2020,74.36605,0.19750811,0.18023044,0.19547845,0.25308877,9.17804,15.629605
Benin,BEN,2010,58.326916,0.0000317604,23.464527,0.009422267,0.009401094,13.790581,4.399121
Benin,BEN,2020,53.23116,0.0000632755,31.401228,0.008297001,0.008225815,10.465116,4.88591
Bhutan,BTN,2010,0.5481391,0.0000315132,0.22865137,22.553225,74.70138,1.940111,0.028466828
Bhutan,BTN,2020,0.55020624,0.0000571363,0.2221564,22.50588,74.73525,1.9427681,0.043676686
Bolivia,BOL,2010,95.70631,0.034531184,0.008412181,0.003325746,0.017019995,0.2421076,3.9882944
Bolivia,BOL,2020,88.9256,0.004188951,0.009802146,0.003686277,0.01885028,1.4902164,9.547658
Bosnia and Herzegovina,BIH,2010,46.453857,0.013119613,51.27508,0,0.00236153,1.1486156,1.1069636
Bosnia and Herzegovina,BIH,2020,44.677944,0.015067414,53.64898,0,0.002712135,0.60955805,1.0457406
Botswana,BWA,2010,80.46395,0.004780882,0.7162222,0.14342645,0.24802342,3.7609153,14.662677
Botswana,BWA,2020,82.29059,0.00392711,0.3303924,0.13744883,0.22821616,2.2872162,14.722209
Brazil,BRA,2010,89.158264,0.055669174,0.018563654,0.002994251,0.12678048,2.5220077,8.115719
Brazil,BRA,2020,80.65507,0.04415848,0.017701255,0.000770417,0.10313736,5.7058816,13.473284
Brunei,BRN,2010,8.684497,0,78.79367,1.3407314,7.8363504,3.188205,0.15654491
Brunei,BRN,2020,6.693442,0,82.15076,1.3356726,6.2967753,3.3671496,0.15620579
Bulgaria,BGR,2010,81.397606,0.049360912,9.98141,0.001411629,0.019819338,0.14314535,8.407244
Bulgaria,BGR,2020,79.49708,0.04598915,10.258736,0.002907086,0.02646611,0.136665,10.032158
Burkina Faso,BFA,2010,26.581064,0,64.34295,0.000744563,0.001551172,8.449393,0.6243
Burkina Faso,BFA,2020,28.004366,0,67.4097,0.000604015,0.001254494,4.008278,0.5757991
Burundi,BDI,2010,95.405525,0.00021914,2.0740278,0.007044393,0.00010957,0.6539676,1.8591024
Burundi,BDI,2020,94.98028,0.000163663,2.9935937,0.007467602,0.000163663,0.76537955,1.252955
Cambodia,KHM,2010,0.37198132,0,1.904455,0.00090507,96.92893,0.70043284,0.09329182
Cambodia,KHM,2020,0.31641948,0,2.042904,0.000792835,97.09086,0.4699868,0.07903952
Cameroon,CMR,2010,71.66582,0.006340458,21.32802,0.006340458,0.001808902,3.9161282,3.075546
Cameroon,CMR,2020,69.83394,0.00637948,25.15727,0.007430334,0.00181991,2.9132965,2.0798645
Canada,CAN,2010,67.24938,1.0001762,3.2494714,1.5851321,1.1058371,1.9552203,23.854778
Canada,CAN,2020,53.321125,0.9230463,4.887863,1.5247571,1.737348,2.9764302,34.62943
Cape Verde,CPV,2010,85.70175,0.012854642,0.2841238,0.001534883,0.00575581,0.40238708,13.591593
Cape Verde,CPV,2020,78.29805,0.012357545,0.3126648,0.001373061,0.005148977,0.75420195,20.616205
Central African Republic,CAF,2010,89.76293,0.003433427,8.395126,0.001072946,0.002145892,0.8370599,0.9982286
Central African Republic,CAF,2020,90.67516,0.003181721,6.241038,0.002433081,0.001871601,2.6238563,0.4524538
Chad,TCD,2010,39.548363,0,57.278458,0.011265496,0.011265496,0.46113503,2.689516
Chad,TCD,2020,38.894054,0,56.35778,0.009997175,0.010874331,1.592638,3.1346579
Channel Islands,OWID_CIS,2010,85.370674,0.06485395,0.07824678,0.080060706,0.003458555,0.34281412,14.05989
Channel Islands,OWID_CIS,2020,85.2033,0.06650472,0.07969046,0.08157503,0.003512441,0.34925935,14.216157
Chile,CHL,2010,86.02832,0.1632096,0.007351141,0.004410685,0.016725965,0.19836403,13.58162
Chile,CHL,2020,68.32602,0.08157169,0.06699373,0.005335507,0.038323306,1.2156916,30.266064
China,CHN,2010,2.3081434,0.000228953,1.5336534,0.001662713,5.630385,3.1039207,87.422005
China,CHN,2020,1.7847568,0.000213027,1.8218015,0.00204179,3.7429757,3.0250807,89.62313
Colombia,COL,2010,92.42011,0.005801485,0.00301231,0.00091485,0.003614772,0.3223874,7.244158
Colombia,COL,2020,86.24696,0.004137866,0.003926908,0.001024615,0.009221531,3.7911248,9.943603
Comoros,COM,2010,0.30425164,0,99.53785,0.000762167,0,0.02710774,0.13002573
Comoros,COM,2020,0.51,0,98.3,0.00062022,0,1.0593798,0.13
Congo,COG,2010,91.80778,0.002027994,1.4851103,0.003154657,0.003943321,1.0657442,5.632242
Congo,COG,2020,92.22654,0.001929089,1.4647045,0.003507434,0.003945863,1.1001837,5.1991887
Costa Rica,CRI,2010,91.23591,0.054086197,0.017740272,0.008870136,0.044134337,1.0947138,7.5445504
Costa Rica,CRI,2020,87.85918,0.05075047,0.025180042,0.009369318,0.048993725,1.9079375,10.098596
Cote d'Ivoire,CIV,2010,40.799046,0,43.722313,0,0,5.470328,10.008315
Cote d'Ivoire,CIV,2020,44.914967,0,46.320717,0,0,3.1999605,5.564355
Croatia,HRV,2010,93.65238,0.012186487,1.5408552,0.011464562,0.02223521,0.08870793,4.6721716
Croatia,HRV,2020,90.85783,0.015337282,1.3726027,0.011706879,0.022288118,1.0624112,6.657828
